#REF!,Service Company Name:,,#ERROR!,UNCONVENTIONAL RESOURCES - WCO&PED,,,,,,,,,,,,,,,,,,,If Recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service Company Code:,,,,,,,,,,,#ERROR!,,HAZEM,,,,,,SIWHP (psig):,,6870,,,,,,,,,"Venturi meter Pipe Diameter ""D"" (mm):",,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/31/21 6:45,,14,5714,5704,5697,112,8,100,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.30,3.83,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 7:00,,14,5755,5745,5731,118,9,105,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.31,3.83,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 7:15,,14,5786,5776,5768,122,7,109,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.32,3.84,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 7:30," 7:30 BSW= 98 %, CL= 60600 ppm, pH= 7",14,5824,5813,5808,127,7,114,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.34,3.85,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 7:45,,14,5863,5852,5842,130,17,119,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.36,3.87,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 8:00, 8:00 TS started flushing Desander & Sand Filter. Recovered DS= 0 Kg & SF= 0 Kg.,14,5902,5892,5870,134,18,123,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.36,3.87,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 8:15,,14,5920,5910,5891,133,29,126,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.39,3.89,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,348,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 8:30," 8:30 BSW= 95 %, CL= 60600 ppm, pH= 7",14,5902,5891,5868,129,43,129,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.39,3.89,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,518,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 8:45,,14,5885,5875,5848,136,28,130,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.33,3.85,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,719,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 9:00,,14,5908,5898,5867,143,27,135,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.32,3.84,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,904,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 9:15,,14,5927,5916,5880,144,30,137,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.33,3.84,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,1065,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,6.61,,0.00,0.00
,8/31/21 9:30," 9:30 BSW= 95 %, CL= 60600 ppm, pH= 7",14,5939,5928,5889,145,32,140,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.33,3.85,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,306,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,6.61,,0.00,0.00
,8/31/21 9:45,,14,5945,5935,5891,148,34,143,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.32,3.84,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,420,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,6.61,,0.00,0.00
,8/31/21 10:00, 10:00 TS started flushing Desander & Sand Filter. Recovered DS= 3 Kg & SF= 0 Kg.,14,5945,5936,5887,149,36,148,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.31,3.83,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,529,,0,,0,,,,,PROP,,100,0.00,6.61,0.00,6.61,6.61,6.61,6.61,,0.00,0.00
,8/31/21 10:15,,14,5943,5934,5886,151,35,150,,,,,95,,,,,,,,,,0.00,0,0,,,0.00,5.30,3.83,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,633,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,0.00,,0.00,0.00
,8/31/21 10:30," 10:30 BSW= 90 %, CL= 60600 ppm, pH= 7",14,5946,5937,5887,152,35,154,,,,,90,,,,,,,,,,0.00,0,0,,,0.00,5.30,3.82,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,731,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,0.00,,0.00,0.00
,8/31/21 10:45,,14,5948,5938,5888,155,35,156,,,,,90,,,,,,,,,,0.00,0,0,,,0.00,5.29,3.82,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,821,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,0.00,,0.00,0.00
,8/31/21 11:00,,14,5949,5939,5888,156,36,156,,,,,90,,,,,,,,,,0.00,0,0,,,0.00,5.28,3.81,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,904,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,0.00,,0.00,0.00
,8/31/21 11:15,,14,5950,5940,5887,157,36,158,,,,,90,,,,,,,,,,0.00,0,0,,,0.00,5.28,3.81,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,983,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,61.73,,0.00,0.00
,8/31/21 11:30," 11:30 BSW= 88 %, CL= 60600 ppm, pH= 7",14,5950,5940,5886,159,36,160,,,,,88,,,,,,,,,,0.00,0,0,,,0.00,5.27,3.80,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,260,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,61.73,,0.00,0.00
,8/31/21 11:45,,14,5951,5941,5908,161,36,159,,,,,88,,,,,,,,,,0.00,0,0,,,0.00,5.28,3.81,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,328,,0,,0,,,,,,,,0.00,0.00,0.00,6.61,,6.61,61.73,,0.00,0.00
,8/31/21 12:00, 12:00 TS started flushing Desander & Sand Filter. Recovered DS= 20 Kg & SF= 8 Kg.,14,5952,5942,5908,162,36,161,,,,,88,,,,,,,,,,0.00,0,0,,,0.00,5.28,3.81,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,394,,0,,0,,,,,PROP,,100,0.00,61.73,0.00,68.34,61.73,68.34,61.73,,0.00,0.00
,8/31/21 12:15,,16,"5,942.76","5,932.76","5,890",164,50,165,,,,,88,,,,,,,,,,0.00,0,0,,,0.00,6.73,5.01,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,513,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,0.00,,0.00,0.00
,8/31/21 12:30," 12:30 BSW= 86 %, CL= 60600 ppm, pH= 7",16,"5,952.84","5,942.71","5,892",165,51,166,,,,,86,,,,,,,,,,0.00,0,0,,,0.00,6.72,5.00,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,643,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,0.00,,0.00,0.00
,8/31/21 12:45,,16,"5,962.31","5,951.02","5,900",166,50,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.73,5.01,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,766,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,0.00,,0.00,0.00
,8/31/21 13:00,,16,"5,968.05","5,956.84","5,904",168,51,168,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.72,5.00,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,878,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,0.00,,0.00,0.00
,8/31/21 13:15,,16,"5,973.88","5,962.84","5,909",168,51,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.72,5.01,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,984,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,4.41,,0.00,0.00
,8/31/21 13:30,,16,"5,979.02","5,968.35","5,913",169,52,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.73,5.01,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,264,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,4.41,,0.00,0.00
,8/31/21 13:45,,16,"5,985.59","5,974.30","5,917",169,53,166,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.73,5.01,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,347,,0.00,,0,,,,,,,,0.00,0.00,0.00,68.34,,68.34,4.41,,0.00,0.00
,8/31/21 14:00, 14:00 TS started flushing Desander & Sand Filter. Recovered DS= 2 Kg & SF= 0 Kg.,16,"5,984.74","5,973.38","5,914",169,53,164,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.73,5.01,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,419,,0.00,,0,,,,,PROP,,100,0.00,4.41,0.00,72.75,4.41,72.75,4.41,,0.00,0.00
,8/31/21 14:15,,16,"5,984.45","5,972.94","5,912",173,55,165,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.71,4.99,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,219,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,0.00,,0.00,0.00
,8/31/21 14:30," 14:30 BSW= 86 %, CL= 60600 ppm, pH= 7",16,"5,988.75","5,977.59","5,913",169,53,165,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.72,5.00,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,284,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,0.00,,0.00,0.00
,8/31/21 14:45,,16,"5,994.28","5,982.79","5,916",171,53,168,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.72,5.00,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,345,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,0.00,,0.00,0.00
,8/31/21 15:00,,16,"5,999.29","5,987.82","5,921",175,54,170,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.70,4.99,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,401,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,0.00,,0.00,0.00
,8/31/21 15:15,,16,"6,003.40","5,991.43","5,923",176,53,172,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.70,4.99,,,,,,,,,,,7,"60,600",,,0.0,0.0,0.0,,,453,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,1.10,,0.00,0.00
,8/31/21 15:30,,16,"6,004.87","5,993.47","5,925",176,54,172,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.70,4.99,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,499,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,1.10,,0.00,0.00
,8/31/21 15:45,,16,"6,006.04","5,995.11","5,926",175,55,172,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.71,4.99,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,541,,0.00,,0,,,,,,,,0.00,0.00,0.00,72.75,,72.75,1.10,,0.00,0.00
,8/31/21 16:00, 16:00 TS started flushing Desander & Sand Filter. Recovered DS= 0.5 Kg & SF= 0 Kg.,16,"6,007.44","5,996.94","5,925",173,55,170,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.72,5.00,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,582,,0.00,,0,,,,,PROP,,100,0.00,1.10,0.00,73.85,1.10,73.85,1.10,,0.00,0.00
,8/31/21 16:15,,16,"6,010.30","5,998.96","5,942",171,54,169,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.75,5.02,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,621,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,0.00,,0.00,0.00
,8/31/21 16:30," 16:30 BSW= 86 %, CL= 60600 ppm, pH= 7, H2S=  10,000 ppm, CO2= 1.4 %.",16,"6,012.43","6,002.69","5,949",171,54,169,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.75,5.03,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,662,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,0.00,,0.00,0.00
,8/31/21 16:45,,16,"6,014.34","6,003.66","5,969",169,53,168,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.79,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,698,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,0.00,,0.00,0.00
,8/31/21 17:00,,16,"6,018.87","6,008.30","5,981",169,53,168,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.80,5.06,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,733,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,0.00,,0.00,0.00
,8/31/21 17:15,,16,"6,022.31","6,011.17","5,976",169,54,165,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.79,5.06,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,764,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,1.10,,0.00,0.00
,8/31/21 17:30," 17:30 BSW= 86 %, CL= 60600 ppm, pH= 7, H2S=  10,000 ppm, CO2= 1.4 %.",16,"6,024.63","6,013.47","5,969",169,55,164,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.79,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,794,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,1.10,,0.00,0.00
,8/31/21 17:45,,16,"6,027.87","6,017.41","5,967",170,55,164,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,822,,0.00,,0,,,,,,,,0.00,0.00,0.00,73.85,,73.85,1.10,,0.00,0.00
,8/31/21 18:00,,16,"6,032.33","6,021.75","5,968",170,326,165,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,848,,0.00,,0,,,,,PROP,,100,0.00,1.10,0.00,74.96,1.10,74.96,1.10,,0.00,0.00
,8/31/21 18:15,,16,"6,035.69","6,024.95","5,969",171,330,166,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,873,,0.00,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,0.00,,0.00,0.00
,8/31/21 18:30," 18:30 BSW= 86 %, CL= 60600 ppm, pH= 7, H2S=  10,000 ppm, CO2= 1.4 %.",16,"6,039.03","6,027.43","5,972",172,326,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,897,,0.00,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,0.00,,0.00,0.00
,8/31/21 18:45,,16,"6,041.83","6,031.03","5,974",172,328,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,919,,0.00,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,0.00,,0.00,0.00
,8/31/21 19:00,,16,"6,044.64","6,034.15","5,977",172,331,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,942,,0.00,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,0.00,,0.00,0.00
,8/31/21 19:15,,16,"6,048.72","6,037.83","5,979",172,328,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.78,5.05,,,,,1.40,"10,000",,,,,7,"60,600",,,0.0,0.0,0.0,,,963,,0,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,2.21,,0.00,0.00
,8/31/21 19:30," 19:30 BSW= 86 %, CL= 60600 ppm, pH= 7, H2S=  10,000 ppm, CO2= 1.4 %.",16,6052,6041,5982,171,326,167,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.79,5.06,,,,,1.40,"10,000",,,,,7.0,60600,,,0.0,0.0,0.0,,,983,,0,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,2.21,,0.00,0.00
,8/31/21 19:45,,16,6054,6043,5984,170,328,165,,,,,86,,,,,,,,,,0.000,0,0,,,0.00,6.80,5.06,,,,,1.40,10000,,,,,7.0,60600,,,0.0,0.0,0.0,,,211,,0,,0,,,,,,,,0.00,0.00,0.00,74.96,,74.96,2.21,,0.00,0.00
